,x,y,z,w,ra,dec,redshift,dist
44473,156.02,149.64,-180.02,36.979,119.4692,32.196,,281.3211
44474,120.03,118.5,-146.97,38.339,119.6461,30.7746,,223.71774
44475,61.44,67.28,-95.39,37.239,119.7276,25.1088,,131.9118
44476,141.49,149.5,-201.9,36.969,119.7743,27.1084,,288.32843
44477,29.88,32.2,-44.53,36.489,119.7927,26.0866,,62.550583
44478,113.88,112.28,-136.52,37.689,119.852,31.3304,,210.26926
44479,123.59,123.54,-151.76,37.469,119.9763,30.7693,,231.447
44480,122.05,119.19,-140.07,36.079,120.0732,32.4327,,220.73074
44481,45.49,53.46,-79.71,36.759,120.0836,22.443,,106.21203
44482,154.13,154.89,-188.97,36.969,120.1511,30.8389,,288.8886
44483,110.24,127.14,-182.03,35.629,120.3417,23.8515,,247.89586
44484,70.89,76.51,-101.32,35.959,120.3419,27.2015,,145.41292
44485,139.73,133.13,-146.48,36.369,120.3645,34.6787,,242.29004
44486,138.04,150.18,-199.91,38.089,120.4035,26.9058,,285.61002
44487,137.13,150.0,-199.76,38.709,120.4808,26.7854,,284.9714
44488,68.39,76.44,-101.25,36.149,120.8781,26.4996,,144.12434
44489,134.75,150.49,-185.23,36.119,121.8145,28.4383,,274.07108
44490,112.81,127.37,-156.28,36.759,122.0306,28.3018,,231.02522
44491,98.47,119.16,-150.49,35.899,122.6922,26.1901,,215.73753
44492,100.51,122.86,-154.64,37.379,122.8848,26.0858,,221.6086
44493,30.61,98.05,-201.87,36.929,122.9014,3.4841,,226.50005
44494,32.13,104.18,-213.28,37.449,123.0399,3.4991,,239.52905
44495,106.07,134.74,-174.13,36.559,123.0515,24.6813,,244.39102
44496,38.85,123.56,-247.99,38.529,123.2884,3.9599,,279.77747
44497,35.24,113.78,-228.77,37.999,123.3173,3.828,,257.92142
44498,33.48,113.39,-223.82,36.109,123.808,3.8223,,253.12762
44499,32.87,112.27,-220.32,36.909,123.9381,3.8664,,249.45119
44500,60.1,76.86,-94.0,36.239,123.9465,25.9577,,135.48236
44501,139.37,143.52,-132.76,37.659,124.1222,37.3658,,240.09833
44502,17.71,66.62,-130.99,37.609,124.2548,3.2372,,148.0211
44503,56.38,70.3,-82.01,37.059,124.2703,27.6414,,121.84595
44504,28.7,100.15,-193.41,36.269,124.2913,3.9981,,219.68419
44505,28.97,103.73,-200.61,37.019,124.3631,3.81,,227.69177
44506,131.67,159.77,-179.43,36.869,124.406,29.1412,,273.9682
44507,32.6,123.75,-239.76,36.689,124.5396,3.4272,,271.77505
44508,31.62,118.13,-227.61,36.749,124.5799,3.6132,,258.38116
44509,33.62,118.27,-224.97,37.949,124.582,4.2,,256.37784
44510,134.26,142.42,-133.2,36.699,124.587,36.4687,,236.75186
44511,123.59,162.25,-193.48,37.549,124.6918,26.1061,,281.12997
44512,130.98,167.24,-192.78,38.479,124.8015,27.4874,,286.86078
44513,141.13,148.52,-134.65,36.789,124.848,37.386,,245.16624
44514,107.67,112.13,-99.58,37.179,124.9118,38.1016,,184.6135
44515,70.66,87.32,-96.02,39.149,125.0063,29.3096,,147.77502
44516,139.7,147.3,-132.13,37.509,125.0355,37.5984,,242.22246
44517,26.19,100.19,-187.37,37.359,125.1868,3.9652,,214.08286
44518,51.6,53.32,-45.76,36.799,125.2038,39.0716,,87.17545
44519,139.31,147.59,-131.35,36.189,125.2459,37.686,,241.74968
44520,51.17,53.27,-46.13,37.629,125.2486,38.7019,,87.08639
44521,79.41,100.04,-110.14,35.609,125.2887,28.9039,,168.65578
44522,147.3,156.64,-139.75,35.829,125.289,37.5467,,256.44385
44523,107.16,134.63,-147.71,36.439,125.2978,29.0435,,226.77466
44524,25.88,100.08,-186.38,37.109,125.2989,3.97,,213.1274
44525,136.31,169.4,-181.41,37.379,125.493,29.8633,,283.17197
44526,140.48,149.38,-130.51,36.289,125.5782,38.0433,,243.06763
44527,128.34,133.51,-111.56,38.389,125.7233,39.5476,,216.1983
44528,34.22,133.65,-242.67,37.109,125.7861,4.3349,,279.14523
44529,91.05,98.22,-85.21,36.309,125.9832,37.904,,158.73883
44530,14.6,58.22,-104.68,36.069,126.0365,4.3723,,120.66744
44531,93.77,118.62,-122.38,36.149,126.348,30.4361,,194.52605
44532,10.32,43.98,-78.22,36.479,126.4653,4.1762,,90.3278
44533,115.33,122.83,-100.95,35.979,126.4736,39.4251,,196.41568
44534,98.51,130.28,-139.05,36.399,126.5131,28.7339,,214.50407
44535,25.89,122.11,-219.32,36.889,126.5986,3.4745,,252.35373
44536,117.81,125.01,-101.15,38.259,126.6168,39.857,,199.34396
44537,30.48,140.08,-249.24,37.719,126.696,3.7597,,287.5274
44538,103.98,108.82,-84.8,38.319,126.8333,40.9912,,172.7561
44539,69.87,90.61,-91.93,38.389,127.0098,30.3579,,146.77573
44540,91.36,121.64,-126.44,37.049,127.034,29.2523,,197.81308
44541,139.49,172.0,-164.64,38.169,127.0791,32.7795,,275.94888
44542,70.49,91.65,-92.71,38.109,127.0984,30.3809,,148.20157
44543,70.1,91.01,-91.84,37.249,127.111,30.4686,,147.07622
44544,92.72,109.71,-99.33,37.859,127.1911,34.9567,,174.64172
44545,68.95,90.76,-92.17,38.449,127.2297,30.0443,,146.58372
44546,151.21,165.92,-134.42,37.639,127.3306,39.1145,,261.6537
44547,158.48,174.14,-140.96,37.509,127.374,39.1049,,274.42734
44548,27.51,114.27,-189.93,36.499,127.647,5.468,,223.35585
44549,19.66,98.34,-168.43,36.439,127.672,3.9522,,196.02534
44550,170.67,184.54,-142.16,36.709,127.7397,40.5501,,288.77798
44551,139.54,174.09,-159.69,36.959,127.9521,33.5594,,274.37134
44552,104.52,123.21,-104.95,36.109,128.0519,36.4609,,192.66457
44553,69.15,85.18,-76.42,37.899,128.0736,34.3421,,133.70628
44554,98.16,108.24,-83.89,37.859,128.0877,39.998,,168.4898
44555,106.3,125.57,-106.87,37.229,128.1059,36.4384,,196.1854
44556,97.54,107.67,-83.32,37.749,128.137,40.0104,,167.47867
44557,20.39,98.91,-164.49,38.019,128.152,4.5915,,193.01787
44558,26.23,129.45,-215.5,37.869,128.1841,4.4859,,252.75594
44559,96.49,106.23,-81.56,37.699,128.1906,40.2384,,165.06715
44560,19.6,101.74,-169.71,36.759,128.2923,4.2015,,198.8383
44561,22.04,115.36,-192.15,36.709,128.3452,4.1858,,225.2006
44562,105.03,126.23,-108.07,37.099,128.3483,35.9419,,196.5819
44563,79.35,100.39,-90.81,36.949,128.4198,33.6068,,156.9109
44564,105.7,127.16,-108.4,37.119,128.4325,36.0221,,197.71878
44565,90.78,108.48,-91.7,37.649,128.4351,36.3548,,168.57582
44566,20.62,115.71,-193.7,35.889,128.4367,3.7816,,226.56937
44567,100.74,123.35,-106.17,37.609,128.6149,35.4351,,191.4049
44568,154.35,185.86,-155.91,37.769,128.7015,36.3705,,287.53397
44569,20.4,99.47,-160.95,36.709,128.7051,5.0195,,190.3033
44570,20.31,99.78,-161.64,37.289,128.7052,4.9602,,191.03935
44571,19.87,96.65,-156.25,38.049,128.7151,5.0491,,184.79745
44572,20.56,100.33,-162.2,37.189,128.7245,5.0299,,191.82716
44573,125.95,158.08,-139.05,37.929,128.7249,34.424,,245.33159
44574,137.69,167.36,-141.1,37.829,128.8021,36.0613,,258.6061
44575,155.05,173.7,-131.16,35.959,128.8261,40.2319,,267.2361
44576,152.78,186.24,-157.21,36.289,128.8381,35.973,,287.64917
44577,44.45,54.22,-45.58,37.589,128.9138,36.0575,,83.62504
44578,82.98,107.15,-96.09,37.679,128.9154,33.3961,,166.13275
44579,153.94,173.84,-131.99,38.499,128.9183,39.9431,,267.09406
44580,51.93,58.16,-43.63,36.889,128.9188,40.3792,,89.34701
44581,122.91,151.92,-129.61,36.829,128.9325,35.4445,,234.48946
44582,123.0,152.19,-129.71,37.049,128.9675,35.4462,,234.76686
44583,17.82,97.43,-157.14,37.149,129.108,4.5041,,185.7502
44584,117.41,162.55,-153.96,35.889,129.163,30.7371,,252.80682
44585,126.04,167.0,-151.22,38.249,129.1988,32.6566,,258.15222
44586,82.26,107.17,-95.25,38.109,129.2184,33.4272,,165.30179
44587,12.23,76.05,-122.78,37.479,129.4251,3.9209,,144.94173
44588,103.62,144.5,-135.48,37.159,129.448,30.8363,,223.54459
