ra,dec,dist,sigma_dist,d_dist
1.7927,-21.7865,97.66276,0.988244706537809,-0.8948348833404358
1.7982,13.7685,50.340843,0.7095128117236503,-0.2683111770050842
1.8162,27.7079,42.049145,0.6484531208961832,0.6484531208961832
1.8213,27.678,71.69397,0.8467229180788719,-0.3016568691834973
1.8312,32.6092,45.201225,0.6723185628851848,0.49584540709724173
1.9336,40.8759,0.08185353,0.028610055924447264,-0.02671085403713529
2.0069,33.0708,45.55467,0.674941997507934,-0.13865843567032998
2.0283,9.7177,60.463276,0.7775813526570708,-0.7387194345114197
2.0614,7.7802,111.49703,1.0559215406458948,-0.35799232783483853
2.0424,27.0038,83.84121,0.9156484587438567,0.7694268509327851
2.0454,27.5278,42.89159,0.6549167122619486,-0.6549167122619486
2.0563,-34.5787,0.39623225,0.06294698165917093,0.02734565712259129
2.0869,-29.9153,12.090848,0.347718966983396,0.0826651780581551
2.1441,-33.8578,64.9733,0.8060601714512385,-0.47892061515670387
2.1429,-10.9493,87.13576,0.9334653716126807,-0.9334653716126807
2.1496,44.0966,78.79465,0.8876635060652207,0.0640267317080518
2.167,-50.6194,103.014046,1.0149583538254168,-0.5374130483539572
2.1771,37.4479,41.17309,0.6416626060477578,0.14929962414317824
2.2053,24.5401,42.23476,0.6498827586572827,0.01420133261535545
2.1989,33.4334,45.6072,0.6753310299401325,0.6753310299401325
2.2683,25.6183,39.921047,0.6318310454543999,-0.15123231634167483
2.2691,10.5653,104.49321,1.0222192034979583,-1.0222192034979583
2.2675,10.919,63.01841,0.7938413569473438,0.14231641332131867
2.2641,-32.9143,65.20149,0.8074743958789035,0.17764168948546313
2.3694,47.3558,48.640873,0.6974300896864144,0.6974300896864144
2.3868,48.1353,53.65903,0.73252324195209,0.6117383972479961
2.4508,27.8321,79.38294,0.8909710433005105,0.3179617798941965
2.4647,26.7909,166.68901,1.2910809811936663,1.2910809811936663
2.4696,-64.3716,17.179968,0.41448724950232185,-0.41448724950232185
2.4723,25.9238,42.14332,0.6491788659529822,-0.41531317452216343
2.4987,29.91,64.240875,0.801504054886811,-0.7426543741970923
2.513,28.1501,77.649055,0.8811870119333354,-0.34349533566515283
2.5977,-7.0845,59.215473,0.7695159062683501,-0.7695159062683501
2.5831,-46.4193,57.67732,0.7594558578350687,0.48236910716768955
2.5907,12.1415,110.223236,1.0498725446453012,-0.2333055084810312
2.6099,28.9878,77.97236,0.8830195920816254,-0.8830195920816254
2.608,25.8319,42.382076,0.6510151764744045,-0.6510151764744045
2.6364,28.9963,74.740135,0.8645237706390727,0.2710401735452059
2.6533,-6.6397,77.6894,0.8814159063688379,0.7387380884924293
2.6634,-56.8035,94.75954,0.9734451191515627,0.9734451191515627
2.6703,32.9831,45.356926,0.6734755080921652,0.6734755080921652
2.6953,33.3528,45.2133,0.6724083580682203,0.2786523665970944
2.7375,25.5599,98.41168,0.9920266125462563,-0.981648149200601
2.8026,-33.5786,75.381165,0.8682232719755905,-0.8682232719755905
2.8094,28.9064,77.80406,0.8820660972965689,0.2361392047911846
2.843,6.3892,56.561535,0.7520740322601227,-0.6113918875399976
2.8455,-56.9573,95.26991,0.97606306148732,-0.405414878981969
2.9088,27.9479,70.64263,0.8404917013272648,-0.514462280018751
2.9379,28.4989,77.37118,0.8796088903598008,-0.1238409153734894
2.9454,-30.1341,74.4422,0.86279893370356,0.86279893370356
3.0054,26.3931,41.602642,0.6450011007742545,0.10129649887726704
3.025,24.9884,103.25156,1.0161277478742523,-0.16119325969452136
3.0372,12.0457,59.67873,0.7725200968259661,-0.7725200968259661
3.039,27.9099,70.27474,0.8383003041869901,-0.8383003041869901
3.0253,-0.4153,50.803783,0.7127677251391228,-0.3466245820673614
3.0604,-27.19,100.892494,1.0044525573664493,-0.05402202071115304
3.0655,22.3219,72.6101,0.8521156024859539,0.8521156024859539
